KB,0.04,0.199,1.065
DTB,0.063,0.362,1.816
MB,0.023,0.109,0.67
KG,0.013,0.081,0.466
İA,0.021,0.14,0.721
ALG,0.009,0.045,0.257
AD,0.009,0.045,0.257
FG,0.005,0.025,0.155
